icao,geometry
841,LFMMYY,"POLYGON ((4.9825 45.4983333333, 4.7261111111 45.2686111111, 4.8588888889 45.2072222222, 5.3108333333 45.1963888889, 5.4955555556 44.9877777778, 5.7727777778 44.9727777778, 6.14 44.5383333333, 6.285 44.3652777778, 6.3669444444 44.5022222222, 6.6625 44.9902777778, 6.5938888889 45.115, 6.4608333333 45.3558333333, 6.4416666667 45.3897222222, 6.3833333333 45.5, 6.3333333333 45.5833333333, 6.1333333333 45.8777777778, 6.0902777778 45.8933333333, 6.0713888889 45.9, 5.9516666667 45.9275, 5.9452777778 45.9302777778, 5.9166666667 45.95, 5.7969444444 46.0244444444, 5.6508333333 45.9275, 4.9825 45.4983333333))"
842,LFMMZH,"POLYGON ((8 40.745, 8 40.6080555556, 8 40.4247222222, 8 40.35, 8 40, 8 39.6986111111, 8 39.2094444444, 8 39.15, 8 39, 7.9619444444 39, 7.6333333333 39, 7.5666666667 39, 7.3311111111 39, 7.0333333333 39, 6.7166666667 39, 6.25 39, 6.0883333333 39, 5.3747222222 39, 5 39, 4.685 39, 4.6666666667 39.5855555556, 4.6666666667 39.7166666667, 4.6666666667 39.9566666667, 4.6666666667 40.0311111111, 5.5027777778 40.3988888889, 6.3269444444 40.5088888889, 6.495 40.7061111111, 8 40.745))"
843,LFMMZZ,"POLYGON ((8 40.6080555556, 8 40.745, 6.495 40.7061111111, 6.3269444444 40.5088888889, 5.5027777778 40.3988888889, 4.6666666667 40.0311111111, 4.6666666667 39.9566666667, 4.6666666667 39.7166666667, 4.6666666667 39.5855555556, 4.685 39, 5 39, 5.3747222222 39, 6.0883333333 39, 6.25 39, 6.7166666667 39, 7.0333333333 39, 7.3311111111 39, 7.5666666667 39, 7.6333333333 39, 7.9619444444 39, 8 39, 8 39.15, 8 39.2094444444, 8 39.6986111111, 8 40, 8 40.35, 8 40.4247222222, 8 40.6080555556))"
844,LFRRA,"POLYGON ((-3.1425 46.7969444444, -3.2366666667 47.2447222222, -3.2525 47.3202777778, -3.2525 47.5, -3.4261111111 47.5, -3.5 47.5, -3.5227777778 47.5, -4.9975 47.5, -5.5 47.25, -6.2333333333 47.25, -8 47.25, -8.75 47.25, -8.75 47, -8.75 46.8166666667, -8.75 46.7608333333, -8.75 46.5, -8.75 46.2469444444, -8.75 46, -8.75 45.7361111111, -8.75 45.355, -8.75 45, -8 45, -6.9197222222 44.8352777778, -6.9166666667 44.8347222222, -5.8366666667 44.6588888889, -5.625 44.6222222222, -5.1394444444 44.5441666667, -3.0713888889 46.4566666667, -3.1425 46.7969444444))"
845,LFRRASI,"POLYGON ((-3.1425 46.7969444444, -3.2366666667 47.2447222222, -3.2525 47.3202777778, -3.2525 47.5, -3.4261111111 47.5, -3.5 47.5, -3.5227777778 47.5, -4.9975 47.5, -5.5 47.25, -6.2333333333 47.25, -8 47.25, -8.75 47.25, -8.75 47, -8.75 46.8166666667, -8.75 46.7608333333, -8.75 46.5, -8.75 46.2469444444, -8.75 46, -8.75 45.7361111111, -8.75 45.355, -8.75 45, -8 45, -6.9197222222 44.8352777778, -6.9166666667 44.8347222222, -5.8366666667 44.6588888889, -5.625 44.6222222222, -5.1394444444 44.5441666667, -3.0713888889 46.4566666667, -3.1425 46.7969444444))"
846,LFRRAU,"POLYGON ((-3.4261111111 47.5, -3.5 47.5, -3.5227777778 47.5, -4.9975 47.5, -5.5 47.25, -6.2333333333 47.25, -8 47.25, -8.75 47.25, -8.75 47, -8.75 46.8166666667, -8.75 46.7608333333, -8.75 46.5, -8.75 46.2469444444, -8.75 46, -8.75 45.7361111111, -8.75 45.355, -8.75 45, -8 45, -6.9197222222 44.8352777778, -6.9166666667 44.8347222222, -5.8366666667 44.6588888889, -5.625 44.6222222222, -5.1394444444 44.5441666667, -3.0713888889 46.4566666667, -3.1425 46.7969444444, -3.2366666667 47.2447222222, -3.2525 47.3202777778, -3.2525 47.5, -3.4261111111 47.5))"
847,LFRREST,"POLYGON ((1.7822222222 48.1333333333, 2.6102777778 48.1333333333, 2.7927777778 48.3952777778, 3.0166666667 48.5833333333, 2.5333333333 49, 2.4469444444 49.0755555556, 2.34 49.1658333333, 2.2055555556 49.2805555556, 1.8108333333 49.605, 1.7455555556 49.6558333333, 1.6127777778 49.7594444444, 1.5175 49.8333333333, 1.4033333333 49.9219444444, 1.3288888889 49.9780555556, 1.2083333333 50.0697222222, 0.7697222222 50.4013888889, 0.6413888889 50.3516666667, 0.4436111111 50.2744444444, 0.2647222222 50.2044444444, 0.1 50.1333333333, 0 50.1, -0.1108333333 50.0555555556, -0.25 50, -0.25 49.8166666667, -0.25 49.5266666667, -0.25 49.4469444444, -0.25 49.1666666667, -0.25 48.95, -0.25 48.9297222222, -0.25 48.8380555556, -0.25 48.7375, -0.2486111111 48.6591666667, -0.25 48.5505555556, -0.25 48.5333333333, -0.25 48.4622222222, -0.25 48.3616666667, -0.2494444444 48.1722222222, -0.25 47.9333333333, -0.3994444444 47.7952777778, -0.4611111111 47.7372222222, -0.6544444444 47.5577777778, -0.6963888888999999 47.5202777778, -0.5525 47.4066666667, -0.25 47.1666666667, -0.25 47.0444444444, 0.4525 47.0813888889, 0.9866666667 47.0041666667, 1.4666666667 47.1666666667, 1.6333333333 47.5502777778, 1.6555555556 47.6586111111, 1.6777777778 47.7733333333, 1.6908333333 47.8305555556, 1.7072222222 47.9155555556, 1.7152777778 47.9536111111, 1.73 47.9988888889, 1.7508333333 48.0591666667, 1.7536111111 48.0683333333, 1.7586111111 48.0833333333, 1.7663888889 48.1102777778, 1.7822222222 48.1333333333))"
848,LFRRESTU,"POLYGON ((0.1 50.1333333333, 0 50.1, -0.1108333333 50.0555555556, -0.25 50, -0.25 49.8166666667, -0.25 49.5266666667, -0.25 49.4469444444, -0.25 49.1666666667, -0.25 48.95, -0.25 48.9297222222, -0.25 48.8380555556, -0.25 48.7375, -0.2486111111 48.6591666667, -0.25 48.5505555556, -0.25 48.5333333333, -0.25 48.4622222222, -0.25 48.3616666667, -0.2494444444 48.1722222222, -0.25 47.9333333333, -0.3994444444 47.7952777778, -0.4611111111 47.7372222222, -0.6544444444 47.5577777778, -0.6963888888999999 47.5202777778, -0.5525 47.4066666667, -0.25 47.1666666667, -0.25 47.0444444444, 0.4525 47.0813888889, 0.9866666667 47.0041666667, 1.4666666667 47.1666666667, 1.6333333333 47.5502777778, 1.6555555556 47.6586111111, 1.6777777778 47.7733333333, 1.6908333333 47.8305555556, 1.7072222222 47.9155555556, 1.7152777778 47.9536111111, 1.73 47.9988888889, 1.7508333333 48.0591666667, 1.7536111111 48.0683333333, 1.7586111111 48.0833333333, 1.7663888889 48.1102777778, 1.7822222222 48.1333333333, 2.6102777778 48.1333333333, 2.7927777778 48.3952777778, 3.0166666667 48.5833333333, 2.5333333333 49, 2.4469444444 49.0755555556, 2.34 49.1658333333, 2.2055555556 49.2805555556, 1.8108333333 49.605, 1.7455555556 49.6558333333, 1.6127777778 49.7594444444, 1.5175 49.8333333333, 1.4033333333 49.9219444444, 1.3288888889 49.9780555556, 1.2083333333 50.0697222222, 0.7697222222 50.4013888889, 0.6413888889 50.3516666667, 0.4436111111 50.2744444444, 0.2647222222 50.2044444444, 0.1 50.1333333333))"
849,LFRRFBRT,"POLYGON ((-3.5227777778 47.5, -3.5 47.5, -3.4261111111 47.5, -3.2525 47.5, -3.2525 47.3202777778, -3.2366666667 47.2447222222, -3.1425 46.7969444444, -3.0713888889 46.4566666667, -3.0397222222 46.3027777778, -2.6666666667 46.2119444444, -2.55 46.1833333333, -1.6666666667 45.9813888889, -0.9419444444 46.2133333333, -0.7222222222 46.305, -0.25 46.5, -0.25 46.6258333333, -0.25 47.0444444444, -0.25 47.1666666667, -0.5525 47.4066666667, -0.6963888888999999 47.5202777778, -0.6544444444 47.5577777778, -0.4611111111 47.7372222222, -0.3994444444 47.7952777778, -0.25 47.9333333333, -0.2494444444 48.1722222222, -0.25 48.3616666667, -0.25 48.4622222222, -0.25 48.5333333333, -0.25 48.5505555556, -0.2486111111 48.6591666667, -0.25 48.7375, -0.25 48.8380555556, -0.25 48.9297222222, -0.25 48.95, -0.25 49.1666666667, -0.25 49.4469444444, -0.25 49.5266666667, -0.25 49.8166666667, -0.25 50, -0.3683333333 50, -0.5319444444 50, -0.5333333333 50, -0.8333333333 50, -1 50, -1.0538888889 50, -1.1905555556 50, -1.2527777778 50, -1.3805555556 50, -1.5 50, -1.5102777778 50, -1.6913888889 50, -1.7169444444 50, -1.7833333333 50, -1.845 50, -1.8591666667 50, -1.8833333333 50, -1.9747222222 50, -2 50, -2.005 49.9991666667, -2.1063888889 49.9825, -2.1636111111 49.9727777778, -2.1730555556 49.9711111111, -2.2433333333 49.9597222222, -2.3711111111 49.9383333333, -2.5086111111 49.9155555556, -3 49.8333333333, -3.0341666667 49.8247222222, -3.0680555556 49.8186111111, -3.1619444444 49.8033333333, -3.1736111111 49.8013888889, -3.2594444444 49.7852777778, -3.5294444444 49.7372222222, -3.82 49.6847222222, -4.0013888889 49.6513888889, -4.1613888889 49.6216666667, -4.3302777778 49.5902777778, -4.45 49.5675, -4.9163888889 49.4780555556, -5.1869444444 48.5805555556, -5.2841666667 48.2497222222, -5.5 47.5, -4.9975 47.5, -3.5227777778 47.5))"
850,LFRRFNORD,"POLYGON ((-6.9344444444 49.5605555556, -7.0213888889 49.4752777778, -7.1208333333 49.3780555556, -7.2538888889 49.2413888889, -7.31 49.1888888889, -7.4980555556 49.0052777778, -7.5744444444 48.9283333333, -8 48.8333333333, -8 48.5769444444, -8 48.5, -8.533611111100001 48.5522222222, -8.75 48.5733333333, -8.75 48.54, -8.75 48.5, -8.75 48.2441666667, -8.75 48, -8.75 47.7444444444, -8.75 47.5, -8.75 47.25, -8 47.25, -6.2333333333 47.25, -5.5 47.25, -4.9975 47.5, -3.5227777778 47.5, -3.5 47.5, -3.4261111111 47.5, -3.2525 47.5, -3.2525 47.3202777778, -3.2366666667 47.2447222222, -3.1425 46.7969444444, -3.0713888889 46.4566666667, -3.0397222222 46.3027777778, -2.6666666667 46.2119444444, -2.55 46.1833333333, -1.6666666667 45.9813888889, -0.9419444444 46.2133333333, -0.7222222222 46.305, -0.25 46.5, -0.25 46.6258333333, -0.25 47.0444444444, -0.25 47.1666666667, -0.5525 47.4066666667, -0.6963888888999999 47.5202777778, -0.6544444444 47.5577777778, -0.4611111111 47.7372222222, -0.3994444444 47.7952777778, -0.25 47.9333333333, -0.2494444444 48.1722222222, -0.25 48.3616666667, -0.25 48.4622222222, -0.25 48.5333333333, -0.25 48.5505555556, -0.2486111111 48.6591666667, -0.25 48.7375, -0.25 48.8380555556, -0.25 48.9297222222, -0.25 48.95, -0.25 49.1666666667, -0.25 49.4469444444, -0.25 49.5266666667, -0.25 49.8166666667, -0.25 50, -0.3683333333 50, -0.5319444444 50, -0.5333333333 50, -0.8333333333 50, -1 50, -1.0538888889 50, -1.1905555556 50, -1.2527777778 50, -1.3805555556 50, -1.5 50, -1.5102777778 50, -1.6913888889 50, -1.7169444444 50, -1.7833333333 50, -1.845 50, -1.8591666667 50, -1.8833333333 50, -1.9747222222 50, -2 50, -2.005 49.9991666667, -2.1063888889 49.9825, -2.1636111111 49.9727777778, -2.1730555556 49.9711111111, -2.2433333333 49.9597222222, -2.3711111111 49.9383333333, -2.5086111111 49.9155555556, -3 49.8333333333, -3.0341666667 49.8247222222, -3.0680555556 49.8186111111, -3.1619444444 49.8033333333, -3.1736111111 49.8013888889, -3.2594444444 49.7852777778, -3.5294444444 49.7372222222, -3.82 49.6847222222, -4.0013888889 49.6513888889, -4.1613888889 49.6216666667, -4.3302777778 49.5902777778, -4.45 49.5675, -4.9163888889 49.4780555556, -5.0572222222 49.4844444444, -5.6316666667 49.5091666667, -5.7833333333 49.5158333333, -5.8011111111 49.5163888889, -5.8177777778 49.5172222222, -6.9344444444 49.5605555556))"
851,LFRRG,"POLYGON ((-2.6666666667 46.2119444444, -3.0397222222 46.3027777778, -3.0713888889 46.4566666667, -5.1394444444 44.5441666667, -4.9475 44.5052777778, -4.6069444444 44.4433333333, -4.4361111111 44.4125, -4.2313888889 44.3758333333, -3.9875 44.3288888889, -3.8916666667 44.2972222222, -3.1502777778 44.0513888889, -2.9125 43.9736111111, -2.8402777778 43.9486111111, -2.7386111111 43.9141666667, -2.7288888889 43.9108333333, -2.5194444444 43.8388888889, -2.1658333333 43.7194444444, -2.0666666667 43.6833333333, -2.0155555556 43.6652777778, -1.9625 43.6463888889, -1.7833333333 43.5833333333, -1.7666666667 44.0666666667, -1.7583333333 44.2, -1.72 44.8166666667, -1.6780555556 45.5611111111, -1.6666666667 45.9813888889, -2.55 46.1833333333, -2.6666666667 46.2119444444))"
852,LFRRJ,"POLYGON ((-1.5 50, -1.5102777778 50, -1.6913888889 50, -1.7169444444 50, -1.7833333333 50, -1.845 50, -1.8591666667 50, -1.8833333333 50, -1.9747222222 50, -2 50, -1.9736111111 49.7286111111, -2.2255555556 49.4769444444, -2.6880555556 49.0333333333, -2.8061111111 48.9011111111, -2.2588888889 48.0475, -2.2055555556 48.0552777778, -2.0861111111 48.0666666667, -1.6077777778 48.105, -0.9308333333 48.1588888889, -0.7491666667 48.1805555556, -0.25 48.4622222222, -0.25 48.5333333333, -0.25 48.5505555556, -0.2486111111 48.6591666667, -0.25 48.7375, -0.25 48.8380555556, -0.25 48.9297222222, -0.25 48.95, -0.25 49.1666666667, -0.25 49.4469444444, -0.25 49.5266666667, -0.25 49.8166666667, -0.25 50, -0.3683333333 50, -0.5319444444 50, -0.5333333333 50, -0.8333333333 50, -1 50, -1.0538888889 50, -1.1905555556 50, -1.2527777778 50, -1.3805555556 50, -1.5 50))"
853,LFRRJIU,"POLYGON ((-1 50, -1.0538888889 50, -1.1905555556 50, -1.2527777778 50, -1.3805555556 50, -1.5 50, -1.5102777778 50, -1.6913888889 50, -1.7169444444 50, -1.7833333333 50, -1.845 50, -1.8591666667 50, -1.8833333333 50, -1.9747222222 50, -2 50, -1.9736111111 49.7286111111, -2.2255555556 49.4769444444, -2.6880555556 49.0333333333, -2.8061111111 48.9011111111, -2.2588888889 48.0475, -2.2055555556 48.0552777778, -2.0861111111 48.0666666667, -1.6077777778 48.105, -0.9308333333 48.1588888889, -0.7491666667 48.1805555556, -0.25 48.4622222222, -0.25 48.5333333333, -0.25 48.5505555556, -0.2486111111 48.6591666667, -0.25 48.7375, -0.25 48.8380555556, -0.25 48.9297222222, -0.25 48.95, -0.25 49.1666666667, -0.25 49.4469444444, -0.25 49.5266666667, -0.25 49.8166666667, -0.25 50, -0.3683333333 50, -0.5319444444 50, -0.5333333333 50, -0.8333333333 50, -1 50))"
854,LFRRJSH,"POLYGON ((-1 50, -1.0538888889 50, -1.1905555556 50, -1.2527777778 50, -1.3805555556 50, -1.5 50, -1.5102777778 50, -1.6913888889 50, -1.7169444444 50, -1.7833333333 50, -1.845 50, -1.8591666667 50, -1.8833333333 50, -1.9747222222 50, -2 50, -1.9736111111 49.7286111111, -2.2255555556 49.4769444444, -2.6880555556 49.0333333333, -2.8061111111 48.9011111111, -2.2588888889 48.0475, -2.2055555556 48.0552777778, -2.0861111111 48.0666666667, -1.6077777778 48.105, -0.9308333333 48.1588888889, -0.7491666667 48.1805555556, -0.25 48.4622222222, -0.25 48.5333333333, -0.25 48.5505555556, -0.2486111111 48.6591666667, -0.25 48.7375, -0.25 48.8380555556, -0.25 48.9297222222, -0.25 48.95, -0.25 49.1666666667, -0.25 49.4469444444, -0.25 49.5266666667, -0.25 49.8166666667, -0.25 50, -0.3683333333 50, -0.5319444444 50, -0.5333333333 50, -0.8333333333 50, -1 50))"
855,LFRRKW,"POLYGON ((-4.9975 47.5, -3.5227777778 47.5, -3.5 47.5, -3.4261111111 47.5, -3.2525 47.5, -2.4791666667 47.9275, -2.2588888889 48.0475, -2.8061111111 48.9011111111, -2.9972222222 48.7686111111, -4.0325 48.7961111111, -4.45 49.5675, -4.9163888889 49.4780555556, -5.0572222222 49.4844444444, -5.6316666667 49.5091666667, -5.7833333333 49.5158333333, -5.8011111111 49.5163888889, -5.8177777778 49.5172222222, -6.9344444444 49.5605555556, -7.0213888889 49.4752777778, -7.1208333333 49.3780555556, -7.2538888889 49.2413888889, -7.31 49.1888888889, -7.4980555556 49.0052777778, -7.5744444444 48.9283333333, -8 48.8333333333, -8 48.5769444444, -8 48.5, -8.533611111100001 48.5522222222, -8.75 48.5733333333, -8.75 48.54, -8.75 48.5, -8.75 48.2441666667, -8.75 48, -8.75 47.7444444444, -8.75 47.5, -8.75 47.25, -8 47.25, -6.2333333333 47.25, -5.5 47.25, -4.9975 47.5))"
856,LFRRKWS,"POLYGON ((-4.9163888889 49.4780555556, -5.0572222222 49.4844444444, -5.6316666667 49.5091666667, -5.7833333333 49.5158333333, -5.8011111111 49.5163888889, -5.8177777778 49.5172222222, -6.9344444444 49.5605555556, -7.0213888889 49.4752777778, -7.1208333333 49.3780555556, -7.2538888889 49.2413888889, -7.31 49.1888888889, -7.4980555556 49.0052777778, -7.5744444444 48.9283333333, -8 48.8333333333, -8 48.5769444444, -8 48.5, -8.533611111100001 48.5522222222, -8.75 48.5733333333, -8.75 48.54, -8.75 48.5, -8.75 48.2441666667, -8.75 48, -8.75 47.7444444444, -8.75 47.5, -8.75 47.25, -8 47.25, -6.2333333333 47.25, -5.5 47.25, -4.9975 47.5, -3.5227777778 47.5, -3.5 47.5, -3.4261111111 47.5, -3.2525 47.5, -2.4791666667 47.9275, -2.2588888889 48.0475, -2.8061111111 48.9011111111, -2.9972222222 48.7686111111, -4.0325 48.7961111111, -4.45 49.5675, -4.9163888889 49.4780555556))"
857,LFRRMZI,"POLYGON ((1.8108333333 49.605, 1.7455555556 49.6558333333, 1.6127777778 49.7594444444, 1.5175 49.8333333333, 1.4033333333 49.9219444444, 1.3288888889 49.9780555556, 1.2083333333 50.0697222222, 0.7697222222 50.4013888889, 0.6413888889 50.3516666667, 0.4436111111 50.2744444444, 0.2647222222 50.2044444444, 0.1 50.1333333333, 0.4008333333 49.8333333333, 0.4430555556 49.7888888889, 0.5141666667 49.705, 0.9333333333 49.2597222222, 0.9694444444 49.2202777778, 1.0847222222 49.0944444444, 1.2 48.6666666667, 1.7822222222 48.1333333333, 2.6102777778 48.1333333333, 2.7927777778 48.3952777778, 3.0166666667 48.5833333333, 2.5333333333 49, 2.4469444444 49.0755555556, 2.34 49.1658333333, 2.2055555556 49.2805555556, 1.8108333333 49.605))"
858,LFRRMZS,"POLYGON ((1.0847222222 49.0944444444, 1.2 48.6666666667, 1.7822222222 48.1333333333, 2.6102777778 48.1333333333, 2.7927777778 48.3952777778, 3.0166666667 48.5833333333, 2.5333333333 49, 2.4469444444 49.0755555556, 2.34 49.1658333333, 2.2055555556 49.2805555556, 1.8108333333 49.605, 1.7455555556 49.6558333333, 1.6127777778 49.7594444444, 1.5175 49.8333333333, 1.4033333333 49.9219444444, 1.3288888889 49.9780555556, 1.2083333333 50.0697222222, 0.7697222222 50.4013888889, 0.6413888889 50.3516666667, 0.4436111111 50.2744444444, 0.2647222222 50.2044444444, 0.1 50.1333333333, 0.4008333333 49.8333333333, 0.4430555556 49.7888888889, 0.5141666667 49.705, 0.9333333333 49.2597222222, 0.9694444444 49.2202777778, 1.0847222222 49.0944444444))"
859,LFRRMZSI,"POLYGON ((1.8108333333 49.605, 1.7455555556 49.6558333333, 1.6127777778 49.7594444444, 1.5175 49.8333333333, 1.4033333333 49.9219444444, 1.3288888889 49.9780555556, 1.2083333333 50.0697222222, 0.7697222222 50.4013888889, 0.6413888889 50.3516666667, 0.4436111111 50.2744444444, 0.2647222222 50.2044444444, 0.1 50.1333333333, 0.4008333333 49.8333333333, 0.4430555556 49.7888888889, 0.5141666667 49.705, 0.9333333333 49.2597222222, 0.9694444444 49.2202777778, 1.0847222222 49.0944444444, 1.2 48.6666666667, 1.7822222222 48.1333333333, 2.6102777778 48.1333333333, 2.7927777778 48.3952777778, 3.0166666667 48.5833333333, 2.5333333333 49, 2.4469444444 49.0755555556, 2.34 49.1658333333, 2.2055555556 49.2805555556, 1.8108333333 49.605))"
860,LFRRMZU,"POLYGON ((1.8108333333 49.605, 1.7455555556 49.6558333333, 1.6127777778 49.7594444444, 1.5175 49.8333333333, 1.4033333333 49.9219444444, 1.3288888889 49.9780555556, 1.2083333333 50.0697222222, 0.7697222222 50.4013888889, 0.6413888889 50.3516666667, 0.4436111111 50.2744444444, 0.2647222222 50.2044444444, 0.1 50.1333333333, 0.4008333333 49.8333333333, 0.4430555556 49.7888888889, 0.5141666667 49.705, 0.9333333333 49.2597222222, 0.9694444444 49.2202777778, 1.0847222222 49.0944444444, 1.2 48.6666666667, 1.7822222222 48.1333333333, 2.6102777778 48.1333333333, 2.7927777778 48.3952777778, 3.0166666667 48.5833333333, 2.5333333333 49, 2.4469444444 49.0755555556, 2.34 49.1658333333, 2.2055555556 49.2805555556, 1.8108333333 49.605))"
861,LFRRN,"POLYGON ((-0.25 48.3616666667, -0.25 48.4622222222, -0.7491666667 48.1805555556, -0.9308333333 48.1588888889, -1.6077777778 48.105, -2.0861111111 48.0666666667, -2.2055555556 48.0552777778, -2.2588888889 48.0475, -2.4791666667 47.9275, -3.2525 47.5, -3.2525 47.3202777778, -3.2366666667 47.2447222222, -3.1425 46.7969444444, -3.0713888889 46.4566666667, -3.0397222222 46.3027777778, -2.6666666667 46.2119444444, -2.55 46.1833333333, -1.6666666667 45.9813888889, -0.9419444444 46.2133333333, -0.7222222222 46.305, -0.25 46.5, -0.25 46.6258333333, -0.25 47.0444444444, -0.25 47.1666666667, -0.5525 47.4066666667, -0.6963888888999999 47.5202777778, -0.6544444444 47.5577777778, -0.4611111111 47.7372222222, -0.3994444444 47.7952777778, -0.25 47.9333333333, -0.2494444444 48.1722222222, -0.25 48.3616666667))"
862,LFRRNGA,"POLYGON ((-3.2525 47.5, -3.4261111111 47.5, -3.5 47.5, -3.5227777778 47.5, -4.9975 47.5, -5.5 47.25, -6.2333333333 47.25, -8 47.25, -8.75 47.25, -8.75 47, -8.75 46.8166666667, -8.75 46.7608333333, -8.75 46.5, -8.75 46.2469444444, -8.75 46, -8.75 45.7361111111, -8.75 45.355, -8.75 45, -8 45, -6.9197222222 44.8352777778, -6.9166666667 44.8347222222, -5.8366666667 44.6588888889, -5.625 44.6222222222, -5.1394444444 44.5441666667, -4.9475 44.5052777778, -4.6069444444 44.4433333333, -4.4361111111 44.4125, -4.2313888889 44.3758333333, -3.9875 44.3288888889, -3.8916666667 44.2972222222, -3.1502777778 44.0513888889, -2.9125 43.9736111111, -2.8402777778 43.9486111111, -2.7386111111 43.9141666667, -2.7288888889 43.9108333333, -2.5194444444 43.8388888889, -2.1658333333 43.7194444444, -2.0666666667 43.6833333333, -2.0155555556 43.6652777778, -1.9625 43.6463888889, -1.7833333333 43.5833333333, -1.7666666667 44.0666666667, -1.7583333333 44.2, -1.72 44.8166666667, -1.6780555556 45.5611111111, -1.6666666667 45.9813888889, -0.9419444444 46.2133333333, -0.7222222222 46.305, -0.25 46.5, -0.25 46.6258333333, -0.25 47.0444444444, -0.25 47.1666666667, -0.5525 47.4066666667, -0.6963888888999999 47.5202777778, -0.6544444444 47.5577777778, -0.4611111111 47.7372222222, -0.3994444444 47.7952777778, -0.25 47.9333333333, -0.2494444444 48.1722222222, -0.25 48.3616666667, -0.25 48.4622222222, -0.7491666667 48.1805555556, -0.9308333333 48.1588888889, -1.6077777778 48.105, -2.0861111111 48.0666666667, -2.2055555556 48.0552777778, -2.2588888889 48.0475, -2.4791666667 47.9275, -3.2525 47.5))"
863,LFRRNI,"POLYGON ((-0.25 48.4622222222, -0.25 48.3616666667, -0.2494444444 48.1722222222, -0.25 47.9333333333, -0.3994444444 47.7952777778, -0.4611111111 47.7372222222, -0.6544444444 47.5577777778, -0.6963888888999999 47.5202777778, -0.5525 47.4066666667, -0.25 47.1666666667, -0.25 47.0444444444, -0.25 46.6258333333, -0.25 46.5, -0.7222222222 46.305, -0.9419444444 46.2133333333, -1.6666666667 45.9813888889, -2.55 46.1833333333, -2.6666666667 46.2119444444, -3.0397222222 46.3027777778, -3.0713888889 46.4566666667, -3.1425 46.7969444444, -3.2366666667 47.2447222222, -3.2525 47.3202777778, -3.2525 47.5, -2.4791666667 47.9275, -2.2588888889 48.0475, -2.2055555556 48.0552777778, -2.0861111111 48.0666666667, -1.6077777778 48.105, -0.9308333333 48.1588888889, -0.7491666667 48.1805555556, -0.25 48.4622222222))"
864,LFRRNORD,"POLYGON ((-1.5 50, -1.5102777778 50, -1.6913888889 50, -1.7169444444 50, -1.7833333333 50, -1.845 50, -1.8591666667 50, -1.8833333333 50, -1.9747222222 50, -2 50, -2.005 49.9991666667, -2.1063888889 49.9825, -2.1636111111 49.9727777778, -2.1730555556 49.9711111111, -2.2433333333 49.9597222222, -2.3711111111 49.9383333333, -2.5086111111 49.9155555556, -3 49.8333333333, -3.0341666667 49.8247222222, -3.0680555556 49.8186111111, -3.1619444444 49.8033333333, -3.1736111111 49.8013888889, -3.2594444444 49.7852777778, -3.5294444444 49.7372222222, -3.82 49.6847222222, -4.0013888889 49.6513888889, -4.1613888889 49.6216666667, -4.3302777778 49.5902777778, -4.45 49.5675, -4.9163888889 49.4780555556, -5.0572222222 49.4844444444, -5.6316666667 49.5091666667, -5.7833333333 49.5158333333, -5.8011111111 49.5163888889, -5.8177777778 49.5172222222, -6.9344444444 49.5605555556, -7.0213888889 49.4752777778, -7.1208333333 49.3780555556, -7.2538888889 49.2413888889, -7.31 49.1888888889, -7.4980555556 49.0052777778, -7.5744444444 48.9283333333, -8 48.8333333333, -8 48.5769444444, -8 48.5, -8.533611111100001 48.5522222222, -8.75 48.5733333333, -8.75 48.54, -8.75 48.5, -8.75 48.2441666667, -8.75 48, -8.75 47.7444444444, -8.75 47.5, -8.75 47.25, -8 47.25, -6.2333333333 47.25, -5.5 47.25, -4.9975 47.5, -3.5227777778 47.5, -3.5 47.5, -3.4261111111 47.5, -3.2525 47.5, -2.4791666667 47.9275, -2.2588888889 48.0475, -2.2055555556 48.0552777778, -2.0861111111 48.0666666667, -1.6077777778 48.105, -0.9308333333 48.1588888889, -0.7491666667 48.1805555556, -0.25 48.4622222222, -0.25 48.5333333333, -0.25 48.5505555556, -0.2486111111 48.6591666667, -0.25 48.7375, -0.25 48.8380555556, -0.25 48.9297222222, -0.25 48.95, -0.25 49.1666666667, -0.25 49.4469444444, -0.25 49.5266666667, -0.25 49.8166666667, -0.25 50, -0.3683333333 50, -0.5319444444 50, -0.5333333333 50, -0.8333333333 50, -1 50, -1.0538888889 50, -1.1905555556 50, -1.2527777778 50, -1.3805555556 50, -1.5 50))"
865,LFRRNS,"POLYGON ((-0.25 48.4622222222, -0.25 48.3616666667, -0.2494444444 48.1722222222, -0.25 47.9333333333, -0.3994444444 47.7952777778, -0.4611111111 47.7372222222, -0.6544444444 47.5577777778, -0.6963888888999999 47.5202777778, -0.5525 47.4066666667, -0.25 47.1666666667, -0.25 47.0444444444, -0.25 46.6258333333, -0.25 46.5, -0.7222222222 46.305, -0.9419444444 46.2133333333, -1.6666666667 45.9813888889, -2.55 46.1833333333, -2.6666666667 46.2119444444, -3.0397222222 46.3027777778, -3.0713888889 46.4566666667, -3.1425 46.7969444444, -3.2366666667 47.2447222222, -3.2525 47.3202777778, -3.2525 47.5, -2.4791666667 47.9275, -2.2588888889 48.0475, -2.2055555556 48.0552777778, -2.0861111111 48.0666666667, -1.6077777778 48.105, -0.9308333333 48.1588888889, -0.7491666667 48.1805555556, -0.25 48.4622222222))"
